harness: compiled 257 main sources (incl. 57 stand-ins) and 114 test sources of 116 into /tmp/claude-0/-home-user-CreateChemE/cfcc6b94-4f24-5f12-ba62-46e9aaaec421/scratchpad/harness-wp5
=== harness science (repo /home/user/CreateChemE, 5a375ea)
VENT_GATE_RUN vapor-vent-0.1 slices=100 PA=104321.21421505878 PB=101328.85981767977 mA=245.25637677675678 mB=339.8348033746557 accepted=100 rejected=1 reasons={Backward-Euler boundary reopened=1} gateRejections=0 polishes=0 polishesAccepted=0
VENT_GATE_RUN vapor-vent-5.0 slices=8 PA=104324.46353377751 PB=101325.55002253383 mA=158.3764289093571 mB=426.7127488487914 accepted=30 rejected=1 reasons={Backward-Euler boundary reopened=1} gateRejections=0 polishes=13 polishesAccepted=13
VENT_GATE_RUN bulk-vent-5.0 slices=8 PA=104323.80871196686 PB=101568.24008408231 mA=160.54206730645262 mB=379.9562197736574 accepted=32 rejected=1 reasons={Backward-Euler boundary reopened=1} gateRejections=0 polishes=7 polishesAccepted=7
block jacobian: filter island with a junction columns=16 entries=196 neighbour-solid-couplings=6 filter columns=1
block jacobian: ten-node slurry chain columns=69 entries=1177 neighbour-solid-couplings=126 filter columns=0
COMPRESSOR_RUN heating junction=391.6218604717433K 303981.8799312368Pa head=202672.02708612618Pa ratio=3.000217390437959 workPerKg=97196.43102923293 J/kg rise=93.4718604717433K mode=PUMP_TARGET
COMPRESSOR_RUN fixture7 interval=5.0 accepted=12 rejected=0 reasons={blocked with solid: NO_LIQUID_CARRIER; pipe=12; velocity=0.0; deposition=0.0; t=0.0=4} topFlow=0.0016237019842240586 texts=[ERROR: compressor inlet not gas (condensed 99.8 % by mass, from node 1), ERROR: compressor inlet not gas (condensed 99.8 % by mass, from node 2), ERROR: compressor inlet not gas (solids 4.0e-07 by volume, from node 3), ERROR: compressor inlet not gas (condensed 100.0 % by mass, from node 1)]
COMPRESSOR_RUN fixture7 interval=0.1 accepted=40 rejected=0 reasons={blocked with solid: NO_LIQUID_CARRIER; pipe=12; velocity=0.0; deposition=0.0; t=0.0=40} topFlow=0.0016698869693691982 texts=[ERROR: compressor inlet not gas (condensed 99.8 % by mass, from node 1), ERROR: compressor inlet not gas (condensed 99.8 % by mass, from node 2), ERROR: compressor inlet not gas (solids 4.0e-07 by volume, from node 3), ERROR: compressor inlet not gas (condensed 100.0 % by mass, from node 1)]
COMPRESSOR_RUN target q=0.02268025913234062 rhoS=1.1340129566169062 head=2871.5142310619926 work=28.310290721080722 formula=28.310290721080722
COMPRESSOR_RUN transfer interval=5.0 modes=[PUMP_TARGET, CLOSED] suction=81582.4570767508Pa/280.443766338834K discharge=122373.67547023752Pa/314.74549028350464K ratio=1.49999987564865 landing=-0.010144888670765795Pa work=3254.180662621949J accepted=39 rejected=0 reasons={}
COMPRESSOR_RUN transfer interval=0.1 modes=[PUMP_TARGET, PUMP_HEAD_LIMIT, CLOSED] suction=81521.22712911849Pa/280.2031115817209K discharge=122281.6508285756Pa/314.5352608009838K ratio=1.499997670973453 landing=-0.18986510213289876Pa work=2871.3434760969412J accepted=600 rejected=0 reasons={}
gas transfer (compressor, ratio 1.05): closed at 0.35 s, suction 296.069176 K 98866.032 Pa, discharge 300.232581 K 103809.285 Pa, rise at shutoff 4943.2531 Pa, limit 4943.3016 Pa, work 63.115 J
TranslatedPengRobinson derivatives vs central differences: 18 phase evaluations, 18 identity checks
    sum x_i h_i = h           max 2.074e-15 over 18 comparisons at T=480.0 P=900000.0 LIQUID (difference 15786.2042433, analytic 15786.2042433)
    cp = cp_ideal + dH^R/dT   max 6.967e-16 over 18 comparisons at T=480.0 P=900000.0 LIQUID (difference 407.939157343, analytic 407.939157343)
    d ln phi_i/dT             max 1.116e-09 over 360 comparisons at T=480.0 P=900000.0 LIQUID (difference 0.313334668503, analytic 0.313334668153)
    dh/dT (cp)                max 6.614e-10 over 18 comparisons at T=480.0 P=900000.0 LIQUID (difference 407.939157612, analytic 407.939157343)
    dv/dT                     max 2.372e-09 over 18 comparisons at T=480.0 P=900000.0 LIQUID (difference 3.00122276144e-06, analytic 3.00122275432e-06)
    d2v/dT2                   max 8.093e-09 over 18 comparisons at T=480.0 P=900000.0 LIQUID (difference 2.31485305958e-07, analytic 2.31485304084e-07)
    d ln phi_i/dP             max 1.023e-07 over 360 comparisons at T=520.0 P=250000.0 VAPOR (difference -2.23038404824e-05, analytic -2.23038382001e-05)
    dv/dP                     max 2.174e-07 over 18 comparisons at T=300.0 P=101325.0 LIQUID (difference -1.90280057355e-13, analytic -1.90280098723e-13)
    dh/dP                     max 1.091e-07 over 18 comparisons at T=520.0 P=250000.0 VAPOR (difference -0.0414319189326, analytic -0.0414319144139)
    d ln phi_i/dn_j           max 6.974e-08 over 6520 comparisons at T=300.0 P=101325.0 LIQUID d18/dn9 (difference -0.133374740585, analytic -0.133374590525)
    dH/dn_j                   max 4.589e-08 over 326 comparisons at T=480.0 P=900000.0 LIQUID dH/dn18 (difference -90551.5464838, analytic -90551.5423287)
    dV/dn_j                   max 2.292e-08 over 326 comparisons at T=480.0 P=900000.0 LIQUID dV/dn18 (difference -0.00475169162304, analytic -0.00475169151413)
solid populations: 64 held, reasons={blocked with solid: POPULATION_LIMIT; pipe=10; velocity=1.5743021157464467; deposition=0.0; t=0.0=1}
PHASE_PORT_PRIORITY_SLICE overflow-0.1 0 gas=0.20461695834876942 oil=0.0 water=0.7953830416512306 P=101325.0->101404.43305986546 T=298.1500263874153 outGas=1.6340848208524472E-4 outOil=0.0 outWater=0.0 in=0.0 accepted=1 rejected=1 reasons={Backward-Euler boundary reopened=1} modes=[PASSIVE, PASSIVE]
PHASE_PORT_PRIORITY_SLICE overflow-0.1 1 gas=0.20430709708861036 oil=0.0 water=0.7956929029113896 P=101404.43305986546->101459.57073963326 T=298.1500499100924 outGas=2.2122367454409985E-4 outOil=0.0 outWater=0.0 in=0.0 accepted=1 rejected=0 reasons={} modes=[PASSIVE, PASSIVE]
PHASE_PORT_PRIORITY_SLICE overflow-0.1 2 gas=0.2039972609696501 oil=0.0 water=0.7960027390303499 P=101459.57073963326->101499.77544652422 T=298.1500716677016 outGas=2.567430231515662E-4 outOil=0.0 outWater=0.0 in=0.0 accepted=1 rejected=0 reasons={} modes=[PASSIVE, PASSIVE]
PHASE_PORT_PRIORITY_SLICE overflow-0.1 3 gas=0.20368744498500332 oil=0.0 water=0.7963125550149966 P=101499.77544652422->101529.81399844983 T=298.1500922205596 outGas=2.8090286173446837E-4 outOil=0.0 outWater=0.0 in=0.0 accepted=1 rejected=0 reasons={} modes=[PASSIVE, PASSIVE]
PHASE_PORT_PRIORITY_SLICE overflow-0.1 4 gas=0.2033776451871834 oil=0.0 water=0.7966223548128167 P=101529.81399844983->101552.58422862596 T=298.15011190928425 outGas=2.9815694754313217E-4 outOil=0.0 outWater=0.0 in=0.0 accepted=1 rejected=0 reasons={} modes=[PASSIVE, PASSIVE]
PHASE_PORT_PRIORITY_SLICE overflow-0.1 5 gas=0.20306785851860476 oil=0.0 water=0.7969321414813951 P=101552.58422862596->101570.00773530563 T=298.15013095963553 outGas=3.108335399880965E-4 outOil=0.0 outWater=0.0 in=0.0 accepted=1 rejected=0 reasons={} modes=[PASSIVE, PASSIVE]
PHASE_PORT_PRIORITY_SLICE overflow-0.1 6 gas=0.20275808261830475 oil=0.0 water=0.7972419173816954 P=101570.00773530563->101583.42564896996 T=298.15014952905614 outGas=3.203175589625999E-4 outOil=0.0 outWater=0.0 in=0.0 accepted=1 rejected=0 reasons={} modes=[PASSIVE, PASSIVE]
PHASE_PORT_PRIORITY_SLICE overflow-0.1 7 gas=0.2024483156633306 oil=0.0 water=0.7975516843366693 P=101583.42564896996->101593.80539086155 T=298.1501677310072 outGas=3.2750065451758146E-4 outOil=0.0 outWater=0.0 in=0.0 accepted=1 rejected=0 reasons={} modes=[PASSIVE, PASSIVE]
PHASE_PORT_PRIORITY_SLICE overflow-0.1 8 gas=0.20213855623458085 oil=0.0 water=0.7978614437654191 P=101593.80539086155->101601.86062457818 T=298.1501856490947 outGas=3.3298813012931785E-4 outOil=0.0 outWater=0.0 in=0.0 accepted=1 rejected=0 reasons={} modes=[PASSIVE, PASSIVE]
PHASE_PORT_PRIORITY_SLICE overflow-0.1 9 gas=0.20182880323156335 oil=0.0 water=0.7981711967684366 P=101601.86062457818->101608.12625839004 T=298.150203345908 outGas=3.372061547801993E-4 outOil=0.0 outWater=0.0 in=0.0 accepted=1 rejected=0 reasons={} modes=[PASSIVE, PASSIVE]
PHASE_PORT_PRIORITY_SLICE overflow-0.1 10 gas=0.20151905582171262 oil=0.0 water=0.7984809441782873 P=101608.12625839004->101613.00784667922 T=298.15022086883897 outGas=3.404628686403467E-4 outOil=0.0 outWater=0.0 in=0.0 accepted=1 rejected=0 reasons={} modes=[PASSIVE, PASSIVE]
PHASE_PORT_PRIORITY_SLICE overflow-0.1 11 gas=0.20120931328064043 oil=0.0 water=0.7987906867193596 P=101613.00784667922->101616.81546677693 T=298.15023825407883 outGas=3.4298565170879665E-4 outOil=0.0 outWater=0.0 in=0.0 accepted=1 rejected=0 reasons={} modes=[PASSIVE, PASSIVE]
PHASE_PORT_PRIORITY_SLICE overflow-0.1 12 gas=0.20089957512061501 oil=0.0 water=0.799100424879385 P=101616.81546677693->101619.78767257392 T=298.1502555294307 outGas=3.449444506876487E-4 outOil=0.0 outWater=0.0 in=0.0 accepted=1 rejected=0 reasons={} modes=[PASSIVE, PASSIVE]
PHASE_PORT_PRIORITY_SLICE overflow-0.1 13 gas=0.20058984093322102 oil=0.0 water=0.799410159066779 P=101619.78767257392->101622.10887278711 T=298.15027271635824 outGas=3.4646792275629085E-4 outOil=0.0 outWater=0.0 in=0.0 accepted=1 rejected=0 reasons={} modes=[PASSIVE, PASSIVE]
PHASE_PORT_PRIORITY_SLICE overflow-0.1 14 gas=0.2002801103993491 oil=0.0 water=0.7997198896006509 P=101622.10887278711->101623.92210724851 T=298.1502898314897 outGas=3.4765420856689393E-4 outOil=0.0 outWater=0.0 in=0.0 accepted=1 rejected=0 reasons={} modes=[PASSIVE, PASSIVE]
PHASE_PORT_PRIORITY_SLICE overflow-0.1 15 gas=0.1999703832695473 oil=0.0 water=0.8000296167304528 P=101623.92210724851->101625.33861753893 T=298.15030688773885 outGas=3.485786474028013E-4 outOil=0.0 outWater=0.0 in=0.0 accepted=1 rejected=0 reasons={} modes=[PASSIVE, PASSIVE]
PHASE_PORT_PRIORITY_SLICE overflow-0.1 16 gas=0.19966065934875452 oil=0.0 water=0.8003393406512453 P=101625.33861753893->101626.44508388084 T=298.1503238951566 outGas=3.4929935438922615E-4 outOil=0.0 outWater=0.0 in=0.0 accepted=1 rejected=0 reasons={} modes=[PASSIVE, PASSIVE]
PHASE_PORT_PRIORITY_SLICE overflow-0.1 17 gas=0.19935093848441685 oil=0.0 water=0.8006490615155831 P=101626.44508388084->101627.30914456255 T=298.1503408615763 outGas=3.4986132269412915E-4 outOil=0.0 outWater=0.0 in=0.0 accepted=1 rejected=0 reasons={} modes=[PASSIVE, PASSIVE]
PHASE_PORT_PRIORITY_SLICE overflow-0.1 18 gas=0.19904122055722082 oil=0.0 water=0.8009587794427792 P=101627.30914456255->101627.98363359938 T=298.15035779311114 outGas=3.502994828789542E-4 outOil=0.0 outWater=0.0 in=0.0 accepted=1 rejected=0 reasons={} modes=[PASSIVE, PASSIVE]
PHASE_PORT_PRIORITY_SLICE overflow-0.1 19 gas=0.19873150547385493 oil=0.0 water=0.801268494526145 P=101627.98363359938->101628.50985106007 T=298.1503746945346 outGas=3.5064100976431436E-4 outOil=0.0 outWater=0.0 in=0.0 accepted=1 rejected=0 reasons={} modes=[PASSIVE, PASSIVE]
