# Jaubert, Qian, Lasala, Privat 2022, Fluid Phase Equilibria 560, 113456, Supporting Information Table S4 (file 1-s2.0-S0378381222000814-mmc1.docx).
# Group-binary interaction parameters Akl = Alk and Bkl = Blk in MPa (E-PPR78 convention), lower triangle as printed; NA = not available in the table; the diagonal is 0.
# Extracted 2026-09-25 from the MathType previews (WMF text records) of the docx by tools/eppr78-table-s4-extraction; every one of the 820 lower-triangle cells parsed.
k	l	group_k	group_l	Akl_MPa	Bkl_MPa
40	2	-C≡C-	CH2	488.0	826.6
40	3	-C≡C-	CH	4.46	-245.4
40	4	-C≡C-	C	NA	NA
40	5	-C≡C-	CH4	NA	NA
40	6	-C≡C-	C2H6	NA	NA
40	7	-C≡C-	CHaro	403.9	403.9
40	8	-C≡C-	Caro	518.5	518.5
40	9	-C≡C-	Cfused aromatic rings	NA	NA
40	10	-C≡C-	CH2,cyclic	845.9	845.9
40	11	-C≡C-	CHcyclic/Ccyclic	NA	NA
40	12	-C≡C-	CO2	NA	NA
40	13	-C≡C-	N2	NA	NA
40	14	-C≡C-	H2S	NA	NA
40	15	-C≡C-	SH	NA	NA
40	16	-C≡C-	H2O	NA	NA
40	17	-C≡C-	C2H4	NA	NA
40	18	-C≡C-	CH2,alkenic/CHalkenic	255.6	676.7
40	19	-C≡C-	Calkenic	-874.3	1040.1
40	20	-C≡C-	CHcycloalkenic/Ccycloalkenic	NA	NA
40	21	-C≡C-	H2	NA	NA
40	22	-C≡C-	C2F6	NA	NA
40	23	-C≡C-	CF3	NA	NA
40	24	-C≡C-	CF2	NA	NA
40	25	-C≡C-	CF2,double bond or CFdouble bond	NA	NA
40	26	-C≡C-	C2H4F2	NA	NA
40	27	-C≡C-	C2H2F4	NA	NA
40	28	-C≡C-	CO	NA	NA
40	29	-C≡C-	He	NA	NA
40	30	-C≡C-	Ar	NA	NA
40	31	-C≡C-	SO2	NA	NA
40	32	-C≡C-	O2	NA	NA
40	33	-C≡C-	NO	NA	NA
40	34	-C≡C-	COS	NA	NA
40	35	-C≡C-	NH3	NA	NA
40	36	-C≡C-	NO2/N2O4	NA	NA
40	37	-C≡C-	N2O	NA	NA
40	38	-C≡C-	C2H2	NA	NA
40	39	-C≡C-	HC≡C-	-497.6	-824.2
40	40	-C≡C-	-C≡C-	0	0
