| case | ms | accepted | rejected | rejected by | Newton solves | Newton/accepted | iter/Newton | backtracks | Jacobians | LU ms | companion solves/filters | rate builds | seed calls/flashes | flashes | alloc MB |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| 0.05:4:false | 618 | 579 | 584 | newton 55, be-state 12, approx 517 | 1168 | 2.02 | 0.96 | 68 | 1224 | 7.0 | 0/0 | 0 | 1/248 | 12793 | 733 |
| 0.05:4:true | 67 | 33 | 74 | newton 73, be-state 1 | 108 | 3.27 | 3.44 | 240 | 195 | 1.1 | 0/0 | 0 | 1/248 | 1103 | 73 |
| 0.05:5:false | 614 | 584 | 588 | newton 572, be-state 9, approx 7 | 1177 | 2.02 | 1.64 | 41 | 2248 | 10.4 | 0/0 | 0 | 1/248 | 11363 | 728 |
| 0.05:5:true | 110 | 93 | 143 | newton 140, be-state 3 | 243 | 2.61 | 3.41 | 527 | 432 | 1.8 | 0/0 | 0 | 1/248 | 2170 | 148 |
| 0.05:6:false | 582 | 571 | 573 | newton 556, be-state 12, approx 5 | 1153 | 2.02 | 1.61 | 68 | 2209 | 8.0 | 0/0 | 0 | 3/744 | 11673 | 747 |
| 0.05:6:true | 487 | 531 | 544 | newton 540, be-state 4 | 1078 | 2.03 | 1.39 | 23 | 1619 | 7.0 | 0/0 | 0 | 1/248 | 9382 | 608 |
| 0.02:4:false | 687 | 701 | 574 | newton 568, approx 6 | 1356 | 1.93 | 1.33 | 4 | 2341 | 9.8 | 0/0 | 0 | 1/248 | 12532 | 782 |
| 0.02:4:true | 459 | 580 | 550 | newton 550 | 1157 | 1.99 | 1.20 | 2 | 1699 | 5.7 | 0/0 | 0 | 1/248 | 9910 | 624 |
| 0.02:5:false | 125 | 154 | 70 | newton 68, approx 2 | 295 | 1.92 | 2.15 | 34 | 326 | 1.3 | 0/0 | 0 | 1/248 | 2493 | 156 |
| 0.02:5:true | 484 | 579 | 556 | newton 555, approx 1 | 1156 | 2.00 | 1.24 | 3 | 1707 | 6.2 | 0/0 | 0 | 1/248 | 9941 | 637 |
| 0.02:6:false | 697 | 872 | 801 | newton 711, approx 90 | 1752 | 2.01 | 1.46 | 9 | 2478 | 9.8 | 0/0 | 0 | 1/248 | 15056 | 981 |
| 0.02:6:true | 465 | 577 | 557 | newton 556, approx 1 | 1152 | 2.00 | 1.28 | 2 | 1711 | 6.5 | 0/0 | 0 | 1/248 | 9930 | 645 |
| transient total | 5395 | 5854 | 5614 | newton 4944, be-state 41, approx 629 | 11795 | 2.01 | 1.43 | 1021 | 18189 | 74.6 | 0/0 | 0 | 14/3472 | 108346 | 6861 |
| static total (32 cases) | 770 | 48 | 17 | newton 17 | 99 | 2.06 | 8.71 | 480 | 178 | 12.3 | 0/0 | 0 | 43/10664 | 11197 | 494 |
